;
; SLOW-32 registers
;
; layout
; <name>,<type>,<subtype>,<value>,<stdname>,<stab idx>,<dwarf idx>
;
NO,$00,$00,$00,INVALID,-1,-1
; Integer registers (GPRs)
; r0=zero, r1=rv, r2=t0, r3-r10=a0-a7, r11-r28=s0-s17, r29=sp, r30=fp, r31=lr
R0,$01,$00,$00,r0,0,0
R1,$01,$00,$01,r1,1,1
R2,$01,$00,$02,r2,2,2
R3,$01,$00,$03,r3,3,3
R4,$01,$00,$04,r4,4,4
R5,$01,$00,$05,r5,5,5
R6,$01,$00,$06,r6,6,6
R7,$01,$00,$07,r7,7,7
R8,$01,$00,$08,r8,8,8
R9,$01,$00,$09,r9,9,9
R10,$01,$00,$0a,r10,10,10
R11,$01,$00,$0b,r11,11,11
R12,$01,$00,$0c,r12,12,12
R13,$01,$00,$0d,r13,13,13
R14,$01,$00,$0e,r14,14,14
R15,$01,$00,$0f,r15,15,15
R16,$01,$00,$10,r16,16,16
R17,$01,$00,$11,r17,17,17
R18,$01,$00,$12,r18,18,18
R19,$01,$00,$13,r19,19,19
R20,$01,$00,$14,r20,20,20
R21,$01,$00,$15,r21,21,21
R22,$01,$00,$16,r22,22,22
R23,$01,$00,$17,r23,23,23
R24,$01,$00,$18,r24,24,24
R25,$01,$00,$19,r25,25,25
R26,$01,$00,$1a,r26,26,26
R27,$01,$00,$1b,r27,27,27
R28,$01,$00,$1c,r28,28,28
R29,$01,$00,$1d,r29,29,29
R30,$01,$00,$1e,r30,30,30
R31,$01,$00,$1f,r31,31,31
;
; FPU registers (soft-float-in-GPRs fiction).
; Physical hardware: F<N> aliases R<N>. The R-class allocator is restricted
; to r0..r19, r29..r31; the F-class allocator owns r20..r28 (callee-saved)
; so the two pools are physically disjoint. F0..F19 + F29..F31 are reserved
; for ABI plumbing (return F1:F2, arg slots F3..F10) and never freely
; allocated. stdname uses rN so emitted asm matches slow32asm's grammar.
;
F0,$02,$00,$00,r0,0,0
F1,$02,$00,$01,r1,1,1
F2,$02,$00,$02,r2,2,2
F3,$02,$00,$03,r3,3,3
F4,$02,$00,$04,r4,4,4
F5,$02,$00,$05,r5,5,5
F6,$02,$00,$06,r6,6,6
F7,$02,$00,$07,r7,7,7
F8,$02,$00,$08,r8,8,8
F9,$02,$00,$09,r9,9,9
F10,$02,$00,$0a,r10,10,10
F11,$02,$00,$0b,r11,11,11
F12,$02,$00,$0c,r12,12,12
F13,$02,$00,$0d,r13,13,13
F14,$02,$00,$0e,r14,14,14
F15,$02,$00,$0f,r15,15,15
F16,$02,$00,$10,r16,16,16
F17,$02,$00,$11,r17,17,17
F18,$02,$00,$12,r18,18,18
F19,$02,$00,$13,r19,19,19
F20,$02,$00,$14,r20,20,20
F21,$02,$00,$15,r21,21,21
F22,$02,$00,$16,r22,22,22
F23,$02,$00,$17,r23,23,23
F24,$02,$00,$18,r24,24,24
F25,$02,$00,$19,r25,25,25
F26,$02,$00,$1a,r26,26,26
F27,$02,$00,$1b,r27,27,27
F28,$02,$00,$1c,r28,28,28
F29,$02,$00,$1d,r29,29,29
F30,$02,$00,$1e,r30,30,30
F31,$02,$00,$1f,r31,31,31
